type,is_mine,start_location,start_lat,start_lng,end_location,drive_time,program,created_at
reference,0,오목교역 (현대백화점/41타워/CBS 앞),37.525565,126.872851,,,,
reference,0,목동역 (목동 로데오거리 메인),37.528047,126.861496,,,,
reference,0,여의도 샛강역 (KBS별관 뒷골목 식당가),37.519381,126.931641,,,,
reference,0,논현동 (영동시장/백종원거리),37.507851,127.023812,,,,
reference,0,역삼동 (테헤란로 이면 르네상스호텔 뒤),37.502800,127.039600,,,,
reference,0,신사동 (가로수길/압구정 로데오),37.523450,127.022500,,,,
reference,0,대치동 (선릉역 1번출구 먹자골목),37.503463,127.050689,,,,
reference,0,교대역 (서초대로 이면도로),37.493500,127.014000,,,,
reference,0,당산역 (지하철 2/9호선 아래 먹자골목),37.534500,126.902500,,,,
reference,0,영등포역 (타임스퀘어 상권),37.515413,126.907128,,,,
reference,0,가락동 (경찰병원역/가락시장 먹자),37.496500,127.120500,,,,
reference,0,방이동 (방이먹자골목 메인사거리),37.514415,127.109015,,,,
reference,0,잠실새내역 (구 신천역 성당 앞),37.510616,127.081827,,,,
reference,0,천호동 (천호 로데오거리),37.539318,127.127028,,,,
reference,0,사당동 (사당역 파스텔시티 뒤편),37.476483,126.982542,,,,
reference,0,신림동 (순대타운/걷고싶은거리),37.483980,126.929875,,,,
reference,0,봉천동 (서울대입구역 샤로수길),37.479590,126.953880,,,,
reference,0,구로동 (구디역 깔깔거리),37.485200,126.901500,,,,
reference,0,가산동 (현대아울렛/마리오 사거리),37.477500,126.888500,,,,
reference,0,독산동 (맛나거리/우시장 인근),37.468500,126.897500,,,,
reference,0,마곡동 (마곡동로 먹자골목),37.558500,126.837000,,,,
reference,0,화곡동 (까치산역 복개천 상권),37.531500,126.846500,,,,
reference,0,서교동 (홍대 클럽거리/상상마당),37.550875,126.920800,,,,
reference,0,연남동 (경의선 숲길/동진시장),37.562300,126.925000,,,,
reference,0,신촌동 (연세로/명물거리),37.558356,126.936630,,,,
reference,0,이태원동 (세계음식거리/해방촌입구),37.534500,126.993500,,,,
reference,0,종로 (종각 젊음의거리),37.568997,126.985670,,,,
reference,0,을지로 (을지로3가 노가리골목),37.566500,126.992500,,,,
reference,0,자양동 (건대입구 맛의거리),37.540372,127.069276,,,,
reference,0,왕십리동 (한양대 먹자골목),37.561500,127.037500,,,,
reference,0,장안동 (장한평 먹자골목/안마상권),37.561500,127.064500,,,,
reference,0,동선동 (성신여대 로데오거리),37.592500,127.016500,,,,
reference,0,수유동 (강북구청 상권),37.638200,127.025500,,,,
reference,0,노원동 (노원역 문화의거리),37.654500,127.060500,,,,
reference,0,창동 (창동역 포장마차거리),37.653000,127.047500,,,,
reference,0,대조동 (연신내 로데오거리),37.618600,126.920500,,,,
reference,0,상봉동 (상봉터미널 먹자골목),37.596500,127.085500,,,,
reference,0,동춘동 (라마다송도호텔/구송도 먹자골목),37.414166,126.655366,,,,
reference,0,삼산동 (굴포천역 롯데마트 뒤 먹자골목),37.508231,126.735784,,,,
reference,0,부평동 (테마의거리/문화의거리),37.493500,126.723500,,,,
reference,0,구월동 (로데오거리/예술회관역),37.444882,126.700584,,,,
reference,0,간석동 (올리브백화점/간석오거리 상권),37.464500,126.708500,,,,
reference,0,논현동 (호구포역/소래포구 어시장),37.398500,126.732500,,,,
reference,0,청학동 (시대아파트 앞/연수역 상권),37.418500,126.668500,,,,
reference,0,연수동 (힘찬병원 뒤 먹자골목),37.418500,126.678500,,,,
reference,0,송도동 (트리플스트리트/해양경찰청),37.381500,126.658500,,,,
reference,0,계산동 (계양구청/아라비안나이트 인근),37.537500,126.737500,,,,
reference,0,주안동 (2030거리/먹자골목),37.456500,126.680500,,,,
reference,0,청라동 (커낼웨이 수변상가),37.530500,126.653500,,,,
reference,0,검단동 (검단사거리 먹자골목),37.601500,126.650500,,,,
reference,0,신포동 (동인천역/신포국제시장),37.471500,126.631500,,,,
reference,0,중동 (신중동 시계탑 먹자골목),37.503450,126.772580,,,,
reference,0,상동 (세이브존 뒤/나이트 상권),37.505814,126.753163,,,,
reference,0,상동 (송내역 북부 둘리광장),37.488210,126.750230,,,,
reference,0,고강동 (고강제일시장/국민은행 부근),37.528314,126.814653,,,,
reference,0,역곡동 (역곡 북부 상상시장/대학가),37.486750,126.806540,,,,
reference,0,심곡동 (부천역 북부 피노키오상가 일대),37.484520,126.782850,,,,
reference,0,소사본동 (소사삼거리/부천대 부속병원 앞),37.480500,126.795500,,,,
reference,0,까치울 (장어/백숙 외곽 가든촌),37.509500,126.812500,,,,
reference,0,정왕동 (시화 48블럭/51블럭 유흥가),37.346310,126.732655,,,,
reference,0,배곧동 (배곧신도시 중심상가),37.368500,126.728900,,,,
reference,0,하안동 (하안사거리 상업지구 공영주차장),37.462528,126.881339,,,,
reference,0,철산동 (철산상업지구 로데오 메인),37.476500,126.868500,,,,
reference,0,고잔동 (안산 중앙역 로데오/NC 뒤),37.308562,126.851517,,,,
reference,0,선부동 (동명상가 사거리),37.332500,126.812500,,,,
reference,0,이동 (한대앞역 로데오거리),37.310500,126.855000,,,,
reference,0,평촌동 (범계역 로데오/평촌학원가),37.389500,126.950400,,,,
reference,0,안양동 (안양일번가 메인),37.401120,126.922000,,,,
reference,0,산본동 (산본역 중심상가),37.361500,126.935500,,,,
reference,0,내손동 (계원예대 앞 먹자골목),37.384500,126.974500,,,,
reference,0,인계동 (나혜석거리/수원시청 뒤 박스),37.264229,127.033279,,,,
reference,0,영통동 (영통 중심상가/시계탑),37.251410,127.076890,,,,
reference,0,매탄동 (삼성전자 영통구청 앞),37.261500,127.045600,,,,
reference,0,호매실동 (호매실지구 중심상가),37.268500,126.960500,,,,
reference,0,서현동 (서현역 로데오거리),37.385973,127.124746,,,,
reference,0,정자동 (정자 카페거리/엠코헤리츠),37.368500,127.106500,,,,
reference,0,삼평동 (판교 유스페이스/H스퀘어),37.400500,127.104200,,,,
